"Datum","Zuletzt","Eröffn.","Hoch","Tief","Vol.","Veraenderung"
"29.09.2023","10.963,50","10.951,55","11.044,82","10.948,20","25,77M","0,42%"
"28.09.2023","10.917,79","10.893,50","10.917,79","10.814,94","20,22M","0,33%"
"27.09.2023","10.882,31","10.976,80","11.022,49","10.866,59","28,69M","-0,65%"
"26.09.2023","10.953,70","10.969,51","11.004,73","10.918,17","26,05M","-0,55%"
"25.09.2023","11.014,26","10.990,89","11.068,53","10.963,37","20,23M","0,00%"
"22.09.2023","11.014,76","11.027,09","11.055,31","10.987,23","19,24M","-0,63%"
"21.09.2023","11.084,74","11.106,29","11.219,56","11.074,47","23,07M","-0,62%"
"20.09.2023","11.154,11","11.115,39","11.169,02","11.091,09","21,35M","0,77%"
"19.09.2023","11.068,70","11.041,94","11.121,67","11.036,45","20,05M","-0,20%"
"18.09.2023","11.090,61","11.183,18","11.192,80","11.070,56","22,88M","-0,96%"
"15.09.2023","11.197,72","11.182,55","11.244,12","11.182,55","77,18M","0,90%"
"14.09.2023","11.098,32","10.975,60","11.103,21","10.975,07","20,71M","1,11%"
"13.09.2023","10.976,38","10.955,71","11.000,52","10.901,85","20,26M","-0,10%"
"12.09.2023","10.987,13","11.002,78","11.055,38","10.987,13","17,92M","0,14%"
"11.09.2023","10.972,21","10.987,13","11.024,26","10.931,11","17,85M","0,22%"
"08.09.2023","10.948,59","10.977,94","10.998,54","10.911,43","19,71M","-0,41%"
"07.09.2023","10.993,43","10.890,87","10.993,43","10.890,87","22,24M","0,63%"
"06.09.2023","10.924,42","10.906,71","10.948,62","10.859,02","22,22M","-0,31%"
"05.09.2023","10.958,90","11.005,48","11.024,57","10.953,57","18,98M","-0,86%"
"04.09.2023","11.053,59","11.094,94","11.141,31","11.045,33","15,68M","-0,19%"
"01.09.2023","11.075,15","11.100,55","11.133,63","11.069,45","22,82M","-0,46%"
"31.08.2023","11.125,95","11.123,93","11.172,69","11.106,24","61,19M","0,32%"
"30.08.2023","11.090,22","11.112,00","11.130,25","11.068,00","21,24M","-0,14%"
"29.08.2023","11.106,24","11.064,47","11.107,44","11.033,38","20,43M","0,67%"
"28.08.2023","11.032,76","11.029,17","11.060,38","11.022,98","16,44M","0,69%"
"25.08.2023","10.956,90","10.960,05","11.008,85","10.928,00","18,23M","-0,18%"
"24.08.2023","10.976,83","11.025,44","11.054,89","10.966,71","24,41M","0,03%"
"23.08.2023","10.973,64","10.929,41","11.021,56","10.925,13","19,66M","0,90%"
"22.08.2023","10.875,68","10.883,55","10.942,69","10.872,98","20,19M","0,25%"
"21.08.2023","10.848,34","10.842,63","10.926,01","10.842,63","17,81M","0,09%"
"18.08.2023","10.839,06","10.863,53","10.870,27","10.749,38","23,61M","-0,42%"
"17.08.2023","10.884,89","10.943,37","10.951,87","10.876,46","22,96M","-0,98%"
"16.08.2023","10.992,31","10.971,14","11.028,54","10.971,14","20,67M","0,06%"
"15.08.2023","10.985,22","11.086,88","11.097,54","10.956,38","20,33M","-1,12%"
"14.08.2023","11.110,11","11.084,22","11.125,75","11.064,87","17,57M","0,26%"
"11.08.2023","11.081,63","11.133,03","11.162,45","11.050,62","28,79M","-0,61%"
"10.08.2023","11.149,79","11.122,63","11.189,10","11.106,90","19,52M","0,62%"
"09.08.2023","11.081,54","11.115,06","11.146,22","11.081,54","17,39M","0,22%"
"08.08.2023","11.057,32","11.074,81","11.130,87","11.044,72","18,62M","-0,45%"
"07.08.2023","11.107,47","11.084,53","11.118,90","11.058,52","15,50M","0,08%"
"04.08.2023","11.098,48","11.077,87","11.101,41","11.009,02","17,58M","0,10%"
"03.08.2023","11.087,18","11.158,24","11.158,53","11.060,74","20,58M","-1,12%"
"02.08.2023","11.212,70","11.154,53","11.244,64","11.130,71","25,31M","-0,85%"
"31.07.2023","11.309,25","11.314,29","11.349,37","11.308,02","19,54M","-0,08%"
"28.07.2023","11.317,74","11.326,25","11.364,99","11.301,12","17,92M","-0,49%"
"27.07.2023","11.373,21","11.222,60","11.399,49","11.220,80","25,75M","1,70%"
"26.07.2023","11.183,55","11.223,96","11.242,69","11.116,54","19,73M","-0,43%"
"25.07.2023","11.231,41","11.194,80","11.245,86","11.159,15","18,50M","0,48%"
"24.07.2023","11.177,68","11.203,23","11.238,62","11.164,30","17,21M","-0,27%"
"21.07.2023","11.207,38","11.232,09","11.246,30","11.167,33","19,20M","0,05%"
"20.07.2023","11.201,55","11.096,59","11.216,81","11.087,67","21,37M","0,73%"
"19.07.2023","11.120,15","11.123,59","11.161,84","11.119,02","18,95M","0,15%"
"18.07.2023","11.103,55","10.998,09","11.120,88","10.993,01","18,59M","1,16%"
"17.07.2023","10.976,20","11.119,42","11.122,42","10.975,51","18,46M","-1,21%"
"14.07.2023","11.110,19","11.030,43","11.114,37","11.030,43","18,58M","0,80%"
"13.07.2023","11.021,66","11.016,44","11.076,17","11.013,04","14,36M","0,02%"
"12.07.2023","11.019,03","10.972,12","11.039,92","10.953,00","19,09M","0,51%"
"11.07.2023","10.962,59","10.928,41","10.975,59","10.904,11","18,53M","0,37%"
"10.07.2023","10.922,01","10.865,25","10.952,15","10.859,43","19,55M","0,43%"
"07.07.2023","10.874,90","10.959,89","10.996,26","10.851,84","20,55M","-1,02%"
"06.07.2023","10.986,78","11.112,21","11.121,92","10.967,57","22,74M","-1,85%"
"05.07.2023","11.193,92","11.189,10","11.214,91","11.159,50","21,35M","-0,21%"
"04.07.2023","11.217,34","11.236,06","11.261,31","11.208,28","13,47M","-0,02%"
"03.07.2023","11.219,15","11.288,15","11.332,26","11.217,03","18,72M","-0,54%"
"30.06.2023","11.280,29","11.204,93","11.309,04","11.203,26","27,78M","0,98%"
"29.06.2023","11.170,51","11.194,48","11.203,42","11.156,85","16,67M","-0,12%"
"28.06.2023","11.183,55","11.233,66","11.242,53","11.167,64","20,77M","0,37%"
"27.06.2023","11.142,65","11.167,88","11.184,96","11.113,00","17,88M","0,01%"
"26.06.2023","11.141,90","11.205,20","11.205,20","11.136,39","19,54M","-0,71%"
"23.06.2023","11.221,22","11.177,09","11.263,74","11.175,05","17,11M","0,34%"
"22.06.2023","11.183,42","11.102,11","11.183,42","11.070,61","19,07M","0,09%"
"21.06.2023","11.173,65","11.196,62","11.243,96","11.164,28","20,00M","-0,38%"
"20.06.2023","11.215,91","11.271,57","11.315,73","11.215,91","25,09M","-0,80%"
"19.06.2023","11.306,64","11.360,21","11.361,67","11.291,13","16,16M","-0,70%"
"16.06.2023","11.386,26","11.317,44","11.448,69","11.309,36","59,91M","0,74%"
"15.06.2023","11.302,83","11.273,08","11.305,93","11.249,85","22,63M","0,22%"
"14.06.2023","11.278,30","11.317,93","11.356,35","11.259,23","28,80M","-0,43%"
"13.06.2023","11.327,27","11.340,02","11.348,15","11.275,51","23,06M","0,23%"
"12.06.2023","11.301,25","11.343,15","11.343,18","11.296,43","67,61M","0,42%"
"09.06.2023","11.254,42","11.317,79","11.321,23","11.238,63","42,15M","-0,48%"
"08.06.2023","11.308,90","11.348,45","11.368,52","11.294,85","42,95M","-0,35%"
"07.06.2023","11.348,11","11.424,33","11.440,84","11.343,31","40,74M","-1,05%"
"06.06.2023","11.468,27","11.425,97","11.490,78","11.397,21","42,10M","0,47%"
"05.06.2023","11.415,00","11.467,77","11.487,82","11.412,61","36,81M","-0,25%"
"02.06.2023","11.443,35","11.325,81","11.446,46","11.321,05","37,05M","1,30%"
"01.06.2023","11.296,28","11.266,31","11.324,54","11.246,19","41,42M","0,70%"
"31.05.2023","11.217,89","11.241,80","11.348,23","11.194,94","298,29M","-0,57%"
"30.05.2023","11.282,45","11.404,41","11.428,02","11.282,45","50,20M","-1,33%"
"26.05.2023","11.434,24","11.353,34","11.464,34","11.313,88","38,91M","0,96%"
"25.05.2023","11.325,26","11.365,62","11.374,02","11.307,58","30,22M","-0,51%"
"24.05.2023","11.383,14","11.432,86","11.447,78","11.349,13","32,55M","-0,89%"
"23.05.2023","11.484,90","11.494,97","11.561,39","11.484,90","31,29M","-0,59%"
"22.05.2023","11.553,23","11.558,88","11.591,00","11.533,47","29,54M","-0,15%"
"19.05.2023","11.571,16","11.496,81","11.607,89","11.482,54","57,31M","1,17%"
"17.05.2023","11.437,78","11.478,23","11.497,31","11.432,25","31,21M","-0,71%"
"16.05.2023","11.519,87","11.548,08","11.568,33","11.497,76","32,04M","-0,50%"
"15.05.2023","11.578,25","11.601,54","11.616,37","11.564,24","23,43M","0,12%"
"12.05.2023","11.564,73","11.578,64","11.606,10","11.539,79","26,04M","0,36%"
"11.05.2023","11.522,97","11.494,23","11.540,16","11.452,05","43,07M","0,66%"
"10.05.2023","11.447,23","11.522,75","11.543,30","11.421,38","32,89M","-0,86%"
"09.05.2023","11.546,04","11.566,53","11.568,97","11.486,14","34,92M","-0,42%"
"08.05.2023","11.595,25","11.546,25","11.606,88","11.537,21","21,83M","0,35%"
"05.05.2023","11.554,24","11.494,85","11.554,24","11.448,50","33,46M","0,85%"
"04.05.2023","11.456,37","11.450,15","11.487,91","11.418,25","46,16M","-0,43%"
"03.05.2023","11.506,19","11.463,43","11.508,78","11.435,54","37,31M","0,73%"
"02.05.2023","11.423,33","11.460,05","11.514,17","11.411,42","38,26M","-0,12%"
"28.04.2023","11.437,14","11.401,04","11.444,00","11.378,82","38,56M","0,66%"
"27.04.2023","11.361,89","11.366,11","11.414,07","11.336,08","33,48M","-0,03%"
"26.04.2023","11.364,91","11.433,47","11.445,47","11.337,44","52,02M","-1,29%"
"25.04.2023","11.513,12","11.468,54","11.549,03","11.458,63","59,60M","0,40%"
